ticker,delay_cost,alarm_days_outside_volatility,alarm_days_outside_hybrid,missed_volatility,missed_hybrid,positive_delay_volatility,positive_delay_hybrid,crossover_ratio
SPY,0.0,195,24,3,5,35.0,66.0,0.011695906432748537
SPY,0.05,195,24,3,5,35.0,66.0,0.020760233918128652
SPY,0.1,195,24,3,5,35.0,66.0,0.02982456140350877
QQQ,0.0,173,27,7,8,17.0,75.0,0.00684931506849315
QQQ,0.05,173,27,7,8,17.0,75.0,0.02671232876712329
QQQ,0.1,173,27,7,8,17.0,75.0,0.04657534246575343
IWM,0.0,247,122,6,8,27.0,81.0,0.016
IWM,0.05,247,122,6,8,27.0,81.0,0.0376
IWM,0.1,247,122,6,8,27.0,81.0,0.0592
HYG,0.0,192,70,8,10,11.0,7.0,0.01639344262295082
HYG,0.05,192,70,8,10,11.0,7.0,0.014754098360655738
HYG,0.1,192,70,8,10,11.0,7.0,0.013114754098360656
TLT,0.0,347,207,6,9,10.0,46.0,0.02142857142857143
TLT,0.05,347,207,6,9,10.0,46.0,0.03428571428571429
TLT,0.1,347,207,6,9,10.0,46.0,0.04714285714285714
