resample,delta_f1
0,-0.17501977020049309
1,-0.13397975897975894
2,-0.021085977152062174
3,-0.12237642610132166
4,-0.07519439853855647
5,-0.10452522589379498
6,-0.14057678447671906
7,-0.16126130987714282
8,-0.10251121704726032
9,-0.08752169617346256
10,-0.14199216819804977
11,-0.12108422869804958
12,-0.14929886392941216
13,-0.0819397138568913
14,-0.09234693877551026
15,-0.14997385136053565
16,-0.09821599106537157
17,-0.1535055954864448
18,-0.10068043679373348
19,-0.12632313470490475
20,-0.03959438013505956
21,-0.1526495875377935
22,-0.134590542742457
23,-0.12387455200613842
24,-0.08868779250856412
25,-0.0911529971404047
26,-0.13001213405842849
27,-0.10385744659309507
28,-0.15024704078032242
29,-0.11373526506967366
30,-0.07763097185520743
31,-0.114988204403354
32,-0.07078919734279293
33,-0.08373965511369438
34,-0.07446977152432374
35,-0.05227964285706582
36,-0.0943852794204385
37,-0.07853541250443258
38,-0.17151037053819695
39,-0.11993833864008399
40,-0.11239283665126687
41,-0.09361218707974533
42,-0.1417048625929742
43,-0.15892014550430636
44,-0.10673264357474882
45,-0.08443856619763154
46,-0.19235068259385665
47,-0.08218386165408137
48,-0.07405911989747938
49,-0.08785797745601176
50,-0.10130062426988695
51,-0.2025726094807938
52,-0.055341889842356745
53,-0.11911808852245001
54,-0.10605227035991854
55,-0.13371130427205194
56,-0.11797485368653915
57,-0.16204726826273788
58,-0.09250235103017862
59,-0.14561080043274868
60,-0.1429750276644426
61,-0.07387472930201566
62,-0.08551350039694405
63,-0.0900542881690069
64,-0.13135169262127883
65,-0.10063530979865648
66,-0.14388445706886355
67,-0.14896871371643294
68,-0.12280843257299598
69,-0.11419618061719572
70,-0.17132687626351323
71,-0.0987220665697991
72,-0.09975444789846233
73,-0.18193147332264542
74,-0.13127705201303558
75,-0.15689979642755825
76,-0.08980068069042102
77,-0.16164186670521197
78,-0.0984305107811751
79,-0.026398397579397548
80,-0.11286918471489371
81,-0.0624360607998784
82,-0.15960726110286563
83,-0.09258331691655103
84,-0.10180897074772405
85,-0.16009794220407378
86,-0.06870058767391632
87,-0.1448845885896966
88,-0.09108354691670892
89,-0.1228270568182829
90,-0.10370714827336291
91,-0.06488601425532048
92,-0.0957504302971556
93,-0.1489989135495887
94,-0.18339745928554846
95,-0.1245154968717121
96,-0.07814577637451264
97,-0.08438848380333597
98,-0.1730346746207015
99,-0.15844887660307436
100,-0.08920840796038443
101,-0.13820799936850914
102,-0.12226394245447389
103,-0.17732575511167065
104,-0.07893990765581738
105,-0.11380001185252486
106,-0.06682056881128343
107,-0.2200840522008405
108,-0.11113876196218805
109,-0.12696901996533114
110,-0.09010018714006557
111,-0.07412941405524842
112,-0.19276497218094485
113,-0.09695423235558909
114,-0.13197054295201172
115,-0.02933523692525633
116,-0.17534067727458175
117,-0.08183186093485406
118,-0.07867868179392401
119,-0.17272568023626594
120,-0.0822371029262729
121,-0.1027850394627502
122,-0.10678917946921482
123,-0.1635297766405813
124,-0.23122710116503523
125,-0.1298049968126695
126,-0.062407502103608514
127,-0.12040508511096745
128,-0.09802191030298196
129,-0.1601643484488673
130,-0.09385939491476303
131,-0.10789994459504235
132,-0.08630936191046079
133,-0.06881165556682689
134,-0.12718743841406077
135,-0.03666706517359408
136,-0.1404862307429445
137,-0.1395088113898267
138,-0.12790467460611551
139,-0.14028937472114222
140,-0.11169268380152403
141,-0.15338796565430404
142,-0.16117919103506706
143,-0.2142237412264324
144,-0.1028890241000156
145,-0.06224922828531099
146,-0.12935418900042234
147,-0.15518150378050405
148,-0.10848303836211176
149,-0.10376764698427715
150,-0.14311724177914995
151,-0.11476197780845732
152,-0.09243926288676182
153,-0.12514858889770006
154,-0.18763243200506002
155,-0.1214694300853981
156,-0.06830345280310074
157,-0.11814114297335773
158,-0.148567740332551
159,-0.1396724921649045
160,-0.062131735738503585
161,-0.07992896456973908
162,-0.1348433597083843
163,-0.2386593168183127
164,-0.11290902132855798
165,-0.1407326678001075
166,-0.15490174685723293
167,-0.06798973902480157
168,-0.15432218223590113
169,-0.13317323635197528
170,-0.17227404762759152
171,-0.13150799772579952
172,-0.12925781823520782
173,-0.1400275924969189
174,-0.17087329569432685
175,-0.15894623942108654
176,-0.111444121800056
177,-0.0430534960064633
178,-0.1674428540910062
179,-0.10495970213427744
180,-0.12288397886496535
181,-0.09509452940578197
182,-0.12460632109377892
183,-0.16953536801041136
184,-0.13478224914619846
185,-0.13699335310838678
186,-0.08057662067225901
187,-0.11225021241714919
188,-0.08015968095446996
189,-0.11351949321378854
190,-0.1105494098311669
191,-0.16505942275042443
192,-0.05206235057135866
193,-0.09404104863746118
194,-0.06265387159090613
195,-0.07417842222965482
196,-0.13906821800220354
197,-0.06870234038766998
198,-0.12238998354367803
199,-0.1639964811762551
200,-0.14439337865111715
201,-0.11514947999944708
202,-0.15420839340595888
203,-0.1489357557576813
204,-0.0735307332784686
205,-0.13209935103989795
206,-0.08394587761599337
207,-0.13697273289339204
208,-0.10449157389503802
209,-0.1810046350589155
210,-0.12837674268746135
