resample,delta_fpr
0,-0.03351427897097002
1,-0.028064660978895373
2,-0.03870673952641166
3,-0.0252387448840382
4,-0.04334653926823584
5,-0.025049878075814675
6,-0.04804154944817139
7,-0.037661484563170575
8,-0.04572610294117647
9,-0.031665190434012405
10,-0.016029863855950812
11,-0.016378100140383718
12,-0.04175222450376454
13,-0.031193490054249547
14,-0.04833219877467665
15,-0.0263341878350035
16,-0.0467741935483871
17,-0.0446874257190397
18,-0.03670546105640107
19,-0.04617505168849069
20,-0.05545243619489559
21,-0.05178652193577567
22,-0.03341013824884793
23,-0.0286493860845839
24,-0.035652173913043476
25,-0.04011154011154011
26,-0.03731175545066307
27,-0.035362194599228465
28,-0.029565217391304348
29,-0.02473498233215548
30,-0.034833748020809775
31,-0.0299154563190982
32,-0.02764559256741446
33,-0.059075342465753425
34,-0.027624309392265192
35,-0.06432481751824817
36,-0.02747123737966659
37,-0.04174994448145681
38,-0.03698722259583053
39,-0.04537444933920705
40,-0.05031861129422105
41,-0.02631578947368421
42,-0.04479258605472198
43,-0.05915100904662491
44,-0.03498871331828443
45,-0.051075853075418384
46,-0.047157338034376384
47,-0.05585543299694907
48,-0.036808463742561165
49,-0.04659811857361627
50,-0.040421792618629174
51,-0.03411790110127402
52,-0.04191484667990293
53,-0.02841173730787145
54,-0.024801123069723912
55,-0.0496211195306771
56,-0.02847207128885025
57,-0.026269315673289183
58,-0.0364741641337386
59,-0.04297670210359647
60,-0.041175209092858676
61,-0.053309640159928916
62,-0.03900547445255475
63,-0.041819357620176766
64,-0.024590163934426233
65,-0.05786416443252905
66,-0.021176470588235297
67,-0.040890504316219906
68,-0.04242002781641168
69,-0.03748355984217448
70,-0.038733252131546894
71,-0.027833001988071565
72,-0.028616141292197632
73,-0.059068037628527664
74,-0.030115335326783423
75,-0.03582370963940608
76,-0.05056947608200456
77,-0.059646856158484064
78,-0.0538935830098196
79,-0.05072620854107956
80,-0.03698781838316722
81,-0.029917250159134306
82,-0.0317975340687865
83,-0.034350282485875704
84,-0.017697132616487452
85,-0.028291621327529923
86,-0.04343870821014328
87,-0.032571032571032575
88,-0.03626943005181347
89,-0.03734939759036145
90,-0.04405690683799908
91,-0.05053470329209478
92,-0.034409061765334474
93,-0.028484453141987387
94,-0.033093838449814936
95,-0.04018912529550827
96,-0.05899772209567199
97,-0.04682040531097135
98,-0.027220630372492834
99,-0.03604014598540146
100,-0.04932526756630991
101,-0.04454395474899835
102,-0.029995775242923534
103,-0.04182509505703422
104,-0.05934579439252336
105,-0.035375722543352604
106,-0.029339853300733493
107,-0.019019914969791902
