resample,delta_fpr
"[(5784, 5724, 5844), (5031, 4971, 5091), (5784, 5724, 5844), (2867, 2807, 2927), (4501, 4441, 4561), (590, 530, 650), (590, 530, 650), (2867, 2807, 2927), (4724, 4664, 4784), (1860, 1800, 1920), (22, 0, 82), (590, 530, 650), (4724, 4664, 4784)]",-0.049831916155823615
"[(22, 0, 82), (5031, 4971, 5091), (5597, 5537, 5657), (1860, 1800, 1920), (5784, 5724, 5844), (5784, 5724, 5844), (2550, 2490, 2610), (5597, 5537, 5657), (22, 0, 82), (2867, 2807, 2927), (5784, 5724, 5844), (22, 0, 82), (376, 316, 436)]",-0.04508601937907851
"[(2867, 2807, 2927), (4724, 4664, 4784), (4724, 4664, 4784), (5031, 4971, 5091), (2867, 2807, 2927), (5597, 5537, 5657), (3884, 3824, 3944), (2147, 2087, 2207), (5031, 4971, 5091), (376, 316, 436), (1860, 1800, 1920), (1860, 1800, 1920), (2147, 2087, 2207)]",-0.03984857541342897
"[(5784, 5724, 5844), (5597, 5537, 5657), (2550, 2490, 2610), (4724, 4664, 4784), (4501, 4441, 4561), (590, 530, 650), (376, 316, 436), (590, 530, 650), (22, 0, 82), (5031, 4971, 5091), (5597, 5537, 5657), (1860, 1800, 1920), (590, 530, 650)]",-0.053997923156801665
"[(2147, 2087, 2207), (22, 0, 82), (4501, 4441, 4561), (2867, 2807, 2927), (5031, 4971, 5091), (22, 0, 82), (3884, 3824, 3944), (4501, 4441, 4561), (5784, 5724, 5844), (4501, 4441, 4561), (3884, 3824, 3944), (2147, 2087, 2207), (1860, 1800, 1920)]",-0.04528376507810956
"[(22, 0, 82), (3884, 3824, 3944), (2147, 2087, 2207), (3884, 3824, 3944), (3884, 3824, 3944), (5031, 4971, 5091), (3884, 3824, 3944), (4501, 4441, 4561), (5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (22, 0, 82), (4724, 4664, 4784)]",-0.04422556971803785
"[(2147, 2087, 2207), (3884, 3824, 3944), (5031, 4971, 5091), (2550, 2490, 2610), (5031, 4971, 5091), (1860, 1800, 1920), (376, 316, 436), (5784, 5724, 5844), (22, 0, 82), (590, 530, 650), (376, 316, 436), (2550, 2490, 2610), (1860, 1800, 1920)]",-0.0526742301458671
"[(376, 316, 436), (5597, 5537, 5657), (2550, 2490, 2610), (1860, 1800, 1920), (4724, 4664, 4784), (1860, 1800, 1920), (22, 0, 82), (5031, 4971, 5091), (3884, 3824, 3944), (2867, 2807, 2927), (1860, 1800, 1920), (590, 530, 650), (5597, 5537, 5657)]",-0.043821391484942886
"[(4724, 4664, 4784), (590, 530, 650), (2867, 2807, 2927), (2550, 2490, 2610), (5597, 5537, 5657), (5784, 5724, 5844), (2550, 2490, 2610), (2550, 2490, 2610), (4724, 4664, 4784), (4724, 4664, 4784), (376, 316, 436), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.044431161585973294
"[(4724, 4664, 4784), (22, 0, 82), (2867, 2807, 2927), (4501, 4441, 4561), (4501, 4441, 4561), (3884, 3824, 3944), (2147, 2087, 2207), (22, 0, 82), (4501, 4441, 4561), (3884, 3824, 3944), (22, 0, 82), (4501, 4441, 4561), (2550, 2490, 2610)]",-0.04422556971803786
"[(4501, 4441, 4561), (376, 316, 436), (376, 316, 436), (3884, 3824, 3944), (4501, 4441, 4561), (5597, 5537, 5657), (376, 316, 436), (2550, 2490, 2610), (4501, 4441, 4561), (4724, 4664, 4784), (4724, 4664, 4784), (1860, 1800, 1920), (376, 316, 436)]",-0.05622568093385215
"[(1860, 1800, 1920), (4501, 4441, 4561), (22, 0, 82), (2147, 2087, 2207), (22, 0, 82), (4724, 4664, 4784), (2550, 2490, 2610), (2147, 2087, 2207), (5597, 5537, 5657), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091), (4724, 4664, 4784)]",-0.04477309562398703
"[(3884, 3824, 3944), (2147, 2087, 2207), (4724, 4664, 4784), (5597, 5537, 5657), (22, 0, 82), (4724, 4664, 4784), (590, 530, 650), (5597, 5537, 5657), (2147, 2087, 2207), (4501, 4441, 4561), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784)]",-0.043701799485861184
"[(4501, 4441, 4561), (1860, 1800, 1920), (2550, 2490, 2610), (1860, 1800, 1920), (2147, 2087, 2207), (22, 0, 82), (5031, 4971, 5091), (4501, 4441, 4561), (4724, 4664, 4784), (590, 530, 650), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920)]",-0.0526742301458671
"[(376, 316, 436), (2147, 2087, 2207), (5597, 5537, 5657), (5784, 5724, 5844), (5784, 5724, 5844), (3884, 3824, 3944), (2867, 2807, 2927), (2867, 2807, 2927), (3884, 3824, 3944), (4501, 4441, 4561), (5784, 5724, 5844), (2867, 2807, 2927), (5597, 5537, 5657)]",-0.038910505836575876
"[(4724, 4664, 4784), (5784, 5724, 5844), (4501, 4441, 4561), (22, 0, 82), (4724, 4664, 4784), (1860, 1800, 1920), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (4724, 4664, 4784), (5031, 4971, 5091), (4724, 4664, 4784), (5031, 4971, 5091)]",-0.05429497568881686
"[(376, 316, 436), (3884, 3824, 3944), (4724, 4664, 4784), (2147, 2087, 2207), (22, 0, 82), (376, 316, 436), (2867, 2807, 2927), (5597, 5537, 5657), (5597, 5537, 5657), (2867, 2807, 2927), (5784, 5724, 5844), (22, 0, 82), (2147, 2087, 2207)]",-0.037176191417836665
"[(2867, 2807, 2927), (590, 530, 650), (5784, 5724, 5844), (2550, 2490, 2610), (4501, 4441, 4561), (1860, 1800, 1920), (2550, 2490, 2610), (3884, 3824, 3944), (2147, 2087, 2207), (376, 316, 436), (2867, 2807, 2927), (5031, 4971, 5091), (2867, 2807, 2927)]",-0.04668201800293071
"[(2867, 2807, 2927), (5784, 5724, 5844), (5597, 5537, 5657), (1860, 1800, 1920), (590, 530, 650), (5597, 5537, 5657), (2147, 2087, 2207), (1860, 1800, 1920), (376, 316, 436), (2867, 2807, 2927), (590, 530, 650), (2867, 2807, 2927), (5031, 4971, 5091)]",-0.036461446503287503
"[(1860, 1800, 1920), (2550, 2490, 2610), (4724, 4664, 4784), (3884, 3824, 3944), (2550, 2490, 2610), (2867, 2807, 2927), (3884, 3824, 3944), (4724, 4664, 4784), (5784, 5724, 5844), (2867, 2807, 2927), (2550, 2490, 2610), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.0480175333731819
"[(590, 530, 650), (5031, 4971, 5091), (2147, 2087, 2207), (3884, 3824, 3944), (5031, 4971, 5091), (2867, 2807, 2927), (2867, 2807, 2927), (376, 316, 436), (5784, 5724, 5844), (5031, 4971, 5091), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561)]",-0.04552878726010617
"[(2867, 2807, 2927), (3884, 3824, 3944), (5031, 4971, 5091), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (4501, 4441, 4561), (3884, 3824, 3944), (2550, 2490, 2610), (1860, 1800, 1920), (590, 530, 650), (2550, 2490, 2610), (5031, 4971, 5091)]",-0.045732952225398124
"[(2550, 2490, 2610), (376, 316, 436), (4501, 4441, 4561), (5031, 4971, 5091), (590, 530, 650), (376, 316, 436), (5784, 5724, 5844), (4724, 4664, 4784), (4501, 4441, 4561), (5784, 5724, 5844), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091)]",-0.060700389105058365
"[(5784, 5724, 5844), (590, 530, 650), (4724, 4664, 4784), (4501, 4441, 4561), (3884, 3824, 3944), (2867, 2807, 2927), (22, 0, 82), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (2867, 2807, 2927)]",-0.04382139148494289
"[(376, 316, 436), (5031, 4971, 5091), (4724, 4664, 4784), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (376, 316, 436), (2147, 2087, 2207), (5784, 5724, 5844)]",-0.0450860193790785
"[(22, 0, 82), (4724, 4664, 4784), (3884, 3824, 3944), (4724, 4664, 4784), (5784, 5724, 5844), (2147, 2087, 2207), (5597, 5537, 5657), (4724, 4664, 4784), (5784, 5724, 5844), (2550, 2490, 2610), (2867, 2807, 2927), (376, 316, 436), (4501, 4441, 4561)]",-0.039044652128764276
"[(1860, 1800, 1920), (376, 316, 436), (4724, 4664, 4784), (2147, 2087, 2207), (5784, 5724, 5844), (22, 0, 82), (2550, 2490, 2610), (22, 0, 82), (2867, 2807, 2927), (22, 0, 82), (5031, 4971, 5091), (5784, 5724, 5844), (1860, 1800, 1920)]",-0.046191247974068074
"[(4501, 4441, 4561), (22, 0, 82), (4501, 4441, 4561), (5597, 5537, 5657), (4724, 4664, 4784), (5597, 5537, 5657), (3884, 3824, 3944), (4501, 4441, 4561), (1860, 1800, 1920), (5597, 5537, 5657), (2867, 2807, 2927), (2550, 2490, 2610), (3884, 3824, 3944)]",-0.04528376507810955
"[(376, 316, 436), (2147, 2087, 2207), (1860, 1800, 1920), (5031, 4971, 5091), (2550, 2490, 2610), (2147, 2087, 2207), (3884, 3824, 3944), (376, 316, 436), (4724, 4664, 4784), (4724, 4664, 4784), (2867, 2807, 2927), (2147, 2087, 2207), (5597, 5537, 5657)]",-0.04083299305839118
"[(22, 0, 82), (5597, 5537, 5657), (5784, 5724, 5844), (5597, 5537, 5657), (1860, 1800, 1920), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (4501, 4441, 4561), (2147, 2087, 2207), (2147, 2087, 2207), (590, 530, 650), (2550, 2490, 2610)]",-0.034846029173419765
"[(2550, 2490, 2610), (5031, 4971, 5091), (5031, 4971, 5091), (22, 0, 82), (4724, 4664, 4784), (4501, 4441, 4561), (5784, 5724, 5844), (4724, 4664, 4784), (22, 0, 82), (5597, 5537, 5657), (2147, 2087, 2207), (2867, 2807, 2927), (4724, 4664, 4784)]",-0.03829011345218801
"[(5031, 4971, 5091), (5031, 4971, 5091), (5031, 4971, 5091), (2867, 2807, 2927), (3884, 3824, 3944), (22, 0, 82), (2867, 2807, 2927), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (5784, 5724, 5844), (2147, 2087, 2207), (590, 530, 650)]",-0.04094244882193897
"[(590, 530, 650), (2147, 2087, 2207), (4724, 4664, 4784), (2867, 2807, 2927), (1860, 1800, 1920), (5784, 5724, 5844), (2550, 2490, 2610), (2867, 2807, 2927), (22, 0, 82), (376, 316, 436), (376, 316, 436), (2147, 2087, 2207), (2147, 2087, 2207)]",-0.042747163695299836
"[(2867, 2807, 2927), (22, 0, 82), (590, 530, 650), (2867, 2807, 2927), (2867, 2807, 2927), (2550, 2490, 2610), (4724, 4664, 4784), (4501, 4441, 4561), (5031, 4971, 5091), (2550, 2490, 2610), (2867, 2807, 2927), (22, 0, 82), (22, 0, 82)]",-0.04866743916570104
"[(3884, 3824, 3944), (376, 316, 436), (1860, 1800, 1920), (22, 0, 82), (5031, 4971, 5091), (3884, 3824, 3944), (376, 316, 436), (5784, 5724, 5844), (5784, 5724, 5844), (1860, 1800, 1920), (590, 530, 650), (4724, 4664, 4784), (4724, 4664, 4784)]",-0.05932370970931382
"[(1860, 1800, 1920), (1860, 1800, 1920), (2147, 2087, 2207), (590, 530, 650), (5784, 5724, 5844), (2147, 2087, 2207), (1860, 1800, 1920), (22, 0, 82), (3884, 3824, 3944), (590, 530, 650), (376, 316, 436), (1860, 1800, 1920), (5597, 5537, 5657)]",-0.043504053786830144
"[(2147, 2087, 2207), (2147, 2087, 2207), (2867, 2807, 2927), (4724, 4664, 4784), (4501, 4441, 4561), (5597, 5537, 5657), (2867, 2807, 2927), (1860, 1800, 1920), (2867, 2807, 2927), (3884, 3824, 3944), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561)]",-0.04004781829049611
"[(1860, 1800, 1920), (2147, 2087, 2207), (2550, 2490, 2610), (2550, 2490, 2610), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (4501, 4441, 4561), (2867, 2807, 2927), (2147, 2087, 2207), (4724, 4664, 4784), (2867, 2807, 2927)]",-0.03808752025931928
"[(5031, 4971, 5091), (590, 530, 650), (4724, 4664, 4784), (22, 0, 82), (376, 316, 436), (5031, 4971, 5091), (22, 0, 82), (3884, 3824, 3944), (5784, 5724, 5844), (2867, 2807, 2927), (5597, 5537, 5657), (5597, 5537, 5657), (4501, 4441, 4561)]",-0.043821391484942886
"[(1860, 1800, 1920), (2550, 2490, 2610), (590, 530, 650), (1860, 1800, 1920), (5784, 5724, 5844), (5784, 5724, 5844), (2147, 2087, 2207), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561), (4724, 4664, 4784), (5031, 4971, 5091), (2550, 2490, 2610)]",-0.05439330543933054
"[(2550, 2490, 2610), (5597, 5537, 5657), (4501, 4441, 4561), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (4501, 4441, 4561), (5784, 5724, 5844), (2550, 2490, 2610), (3884, 3824, 3944), (5031, 4971, 5091), (376, 316, 436), (1860, 1800, 1920)]",-0.04899959167006942
"[(2550, 2490, 2610), (376, 316, 436), (4724, 4664, 4784), (2867, 2807, 2927), (5597, 5537, 5657), (4501, 4441, 4561), (5597, 5537, 5657), (5031, 4971, 5091), (2867, 2807, 2927), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844), (2867, 2807, 2927)]",-0.05024073686414068
"[(2147, 2087, 2207), (590, 530, 650), (2147, 2087, 2207), (376, 316, 436), (2147, 2087, 2207), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (5784, 5724, 5844), (5784, 5724, 5844), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650)]",-0.0541940625622634
"[(590, 530, 650), (2147, 2087, 2207), (4501, 4441, 4561), (4724, 4664, 4784), (4724, 4664, 4784), (5597, 5537, 5657), (2147, 2087, 2207), (2147, 2087, 2207), (2867, 2807, 2927), (5597, 5537, 5657), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844)]",-0.037566353613719884
"[(3884, 3824, 3944), (590, 530, 650), (2550, 2490, 2610), (590, 530, 650), (590, 530, 650), (1860, 1800, 1920), (22, 0, 82), (5597, 5537, 5657), (2147, 2087, 2207), (5597, 5537, 5657), (5597, 5537, 5657), (2147, 2087, 2207), (5031, 4971, 5091)]",-0.043701799485861184
"[(376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (3884, 3824, 3944), (376, 316, 436), (1860, 1800, 1920), (2867, 2807, 2927), (5784, 5724, 5844), (4501, 4441, 4561), (2550, 2490, 2610)]",-0.05716619028174766
"[(4501, 4441, 4561), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (590, 530, 650), (376, 316, 436), (2147, 2087, 2207), (5597, 5537, 5657), (5784, 5724, 5844), (590, 530, 650), (1860, 1800, 1920), (5031, 4971, 5091), (2550, 2490, 2610)]",-0.04856604563533599
"[(590, 530, 650), (4501, 4441, 4561), (22, 0, 82), (3884, 3824, 3944), (376, 316, 436), (5597, 5537, 5657), (4501, 4441, 4561), (376, 316, 436), (1860, 1800, 1920), (590, 530, 650), (22, 0, 82), (5784, 5724, 5844), (4724, 4664, 4784)]",-0.0526742301458671
"[(3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (5597, 5537, 5657), (590, 530, 650), (3884, 3824, 3944), (22, 0, 82), (4724, 4664, 4784), (2867, 2807, 2927), (2867, 2807, 2927), (376, 316, 436), (3884, 3824, 3944), (5031, 4971, 5091)]",-0.042747163695299836
"[(1860, 1800, 1920), (2867, 2807, 2927), (22, 0, 82), (5784, 5724, 5844), (2147, 2087, 2207), (4501, 4441, 4561), (1860, 1800, 1920), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (1860, 1800, 1920)]",-0.04422556971803786
"[(376, 316, 436), (376, 316, 436), (4501, 4441, 4561), (590, 530, 650), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (4724, 4664, 4784), (2550, 2490, 2610), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (2867, 2807, 2927)]",-0.045528787260106174
"[(4501, 4441, 4561), (3884, 3824, 3944), (1860, 1800, 1920), (4501, 4441, 4561), (1860, 1800, 1920), (2867, 2807, 2927), (1860, 1800, 1920), (376, 316, 436), (5597, 5537, 5657), (5597, 5537, 5657), (590, 530, 650), (2550, 2490, 2610), (4724, 4664, 4784)]",-0.045528787260106174
"[(5784, 5724, 5844), (5597, 5537, 5657), (4724, 4664, 4784), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (4724, 4664, 4784), (3884, 3824, 3944), (4724, 4664, 4784), (4501, 4441, 4561), (4724, 4664, 4784)]",-0.04863813229571985
"[(2550, 2490, 2610), (4501, 4441, 4561), (5031, 4971, 5091), (22, 0, 82), (5031, 4971, 5091), (376, 316, 436), (2867, 2807, 2927), (4501, 4441, 4561), (2867, 2807, 2927), (5784, 5724, 5844), (5784, 5724, 5844), (4501, 4441, 4561), (2867, 2807, 2927)]",-0.05175743530320587
"[(5031, 4971, 5091), (2147, 2087, 2207), (590, 530, 650), (5597, 5537, 5657), (22, 0, 82), (22, 0, 82), (4724, 4664, 4784), (22, 0, 82), (4724, 4664, 4784), (1860, 1800, 1920), (4501, 4441, 4561), (2550, 2490, 2610), (4724, 4664, 4784)]",-0.04477309562398703
"[(376, 316, 436), (4724, 4664, 4784), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (2147, 2087, 2207), (5597, 5537, 5657), (2867, 2807, 2927), (5784, 5724, 5844), (1860, 1800, 1920), (2867, 2807, 2927), (5031, 4971, 5091), (4724, 4664, 4784)]",-0.03984857541342897
"[(1860, 1800, 1920), (2147, 2087, 2207), (376, 316, 436), (5597, 5537, 5657), (376, 316, 436), (5031, 4971, 5091), (4724, 4664, 4784), (4724, 4664, 4784), (5597, 5537, 5657), (2867, 2807, 2927), (22, 0, 82), (5031, 4971, 5091), (5031, 4971, 5091)]",-0.037176191417836665
"[(4724, 4664, 4784), (2550, 2490, 2610), (2867, 2807, 2927), (2147, 2087, 2207), (3884, 3824, 3944), (5597, 5537, 5657), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920), (590, 530, 650), (590, 530, 650), (5784, 5724, 5844), (376, 316, 436)]",-0.039304123711340205
"[(5031, 4971, 5091), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920), (5031, 4971, 5091), (4724, 4664, 4784), (5784, 5724, 5844), (1860, 1800, 1920), (2550, 2490, 2610), (376, 316, 436), (590, 530, 650), (590, 530, 650), (1860, 1800, 1920)]",-0.062163777644949195
"[(2867, 2807, 2927), (2147, 2087, 2207), (4501, 4441, 4561), (5597, 5537, 5657), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (1860, 1800, 1920), (2147, 2087, 2207), (2550, 2490, 2610), (590, 530, 650), (590, 530, 650), (3884, 3824, 3944)]",-0.037566353613719884
"[(2867, 2807, 2927), (2550, 2490, 2610), (5597, 5537, 5657), (2147, 2087, 2207), (2147, 2087, 2207), (376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650), (22, 0, 82), (590, 530, 650), (376, 316, 436), (1860, 1800, 1920)]",-0.03551401869158878
"[(590, 530, 650), (2147, 2087, 2207), (1860, 1800, 1920), (2867, 2807, 2927), (4501, 4441, 4561), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091), (5784, 5724, 5844), (2550, 2490, 2610), (376, 316, 436), (4724, 4664, 4784), (5784, 5724, 5844)]",-0.04668201800293071
"[(5031, 4971, 5091), (376, 316, 436), (5784, 5724, 5844), (376, 316, 436), (590, 530, 650), (5784, 5724, 5844), (2550, 2490, 2610), (2550, 2490, 2610), (376, 316, 436), (1860, 1800, 1920), (5597, 5537, 5657), (5031, 4971, 5091), (1860, 1800, 1920)]",-0.05291828793774319
"[(5031, 4971, 5091), (5784, 5724, 5844), (4501, 4441, 4561), (590, 530, 650), (22, 0, 82), (2867, 2807, 2927), (4724, 4664, 4784), (4724, 4664, 4784), (2550, 2490, 2610), (2867, 2807, 2927), (5784, 5724, 5844), (22, 0, 82), (3884, 3824, 3944)]",-0.05105348460291734
"[(1860, 1800, 1920), (22, 0, 82), (2550, 2490, 2610), (4501, 4441, 4561), (2550, 2490, 2610), (5031, 4971, 5091), (5031, 4971, 5091), (22, 0, 82), (590, 530, 650), (4724, 4664, 4784), (22, 0, 82), (2550, 2490, 2610), (590, 530, 650)]",-0.05813055233680958
"[(5031, 4971, 5091), (3884, 3824, 3944), (5031, 4971, 5091), (2147, 2087, 2207), (5784, 5724, 5844), (376, 316, 436), (4501, 4441, 4561), (376, 316, 436), (5031, 4971, 5091), (1860, 1800, 1920), (590, 530, 650), (5597, 5537, 5657), (2550, 2490, 2610)]",-0.04856604563533599
"[(5597, 5537, 5657), (22, 0, 82), (4724, 4664, 4784), (4501, 4441, 4561), (2867, 2807, 2927), (4724, 4664, 4784), (4724, 4664, 4784), (5031, 4971, 5091), (4501, 4441, 4561), (2147, 2087, 2207), (22, 0, 82), (3884, 3824, 3944), (3884, 3824, 3944)]",-0.037373937116867706
"[(2147, 2087, 2207), (2867, 2807, 2927), (3884, 3824, 3944), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (4501, 4441, 4561), (376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650), (22, 0, 82), (5031, 4971, 5091)]",-0.042747163695299836
"[(2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (5784, 5724, 5844), (2550, 2490, 2610), (22, 0, 82), (4501, 4441, 4561), (376, 316, 436), (2550, 2490, 2610), (4501, 4441, 4561), (2550, 2490, 2610), (5784, 5724, 5844), (4501, 4441, 4561)]",-0.05477555863159976
"[(22, 0, 82), (5597, 5537, 5657), (5597, 5537, 5657), (3884, 3824, 3944), (376, 316, 436), (3884, 3824, 3944), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (2867, 2807, 2927), (5784, 5724, 5844), (5597, 5537, 5657), (22, 0, 82)]",-0.0440324449594438
"[(3884, 3824, 3944), (1860, 1800, 1920), (2867, 2807, 2927), (2550, 2490, 2610), (3884, 3824, 3944), (5784, 5724, 5844), (590, 530, 650), (3884, 3824, 3944), (4724, 4664, 4784), (3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (4501, 4441, 4561)]",-0.05369538587178441
