ticker,ratio_false_alarm_to_missed_event,delay_cost,method,false_alarm_days,missed_events,total_positive_delay,cost,preferred_method_at_ratio
SPY,0.01,0.0,Volatility percentile,195,3,35.0,4.95,Volatility percentile
SPY,0.05,0.0,Volatility percentile,195,3,35.0,12.75,Hybrid volatility + instability confirmation
SPY,0.1,0.0,Volatility percentile,195,3,35.0,22.5,Hybrid volatility + instability confirmation
SPY,0.25,0.0,Volatility percentile,195,3,35.0,51.75,Hybrid volatility + instability confirmation
SPY,0.5,0.0,Volatility percentile,195,3,35.0,100.5,Hybrid volatility + instability confirmation
SPY,1.0,0.0,Volatility percentile,195,3,35.0,198.0,Hybrid volatility + instability confirmation
SPY,0.01,0.05,Volatility percentile,195,3,35.0,6.7,Volatility percentile
SPY,0.05,0.05,Volatility percentile,195,3,35.0,14.5,Hybrid volatility + instability confirmation
SPY,0.1,0.05,Volatility percentile,195,3,35.0,24.25,Hybrid volatility + instability confirmation
SPY,0.25,0.05,Volatility percentile,195,3,35.0,53.5,Hybrid volatility + instability confirmation
SPY,0.5,0.05,Volatility percentile,195,3,35.0,102.25,Hybrid volatility + instability confirmation
SPY,1.0,0.05,Volatility percentile,195,3,35.0,199.75,Hybrid volatility + instability confirmation
SPY,0.01,0.1,Volatility percentile,195,3,35.0,8.45,Volatility percentile
SPY,0.05,0.1,Volatility percentile,195,3,35.0,16.25,Hybrid volatility + instability confirmation
SPY,0.1,0.1,Volatility percentile,195,3,35.0,26.0,Hybrid volatility + instability confirmation
SPY,0.25,0.1,Volatility percentile,195,3,35.0,55.25,Hybrid volatility + instability confirmation
SPY,0.5,0.1,Volatility percentile,195,3,35.0,104.0,Hybrid volatility + instability confirmation
SPY,1.0,0.1,Volatility percentile,195,3,35.0,201.5,Hybrid volatility + instability confirmation
SPY,0.01,0.0,Hybrid volatility + instability confirmation,24,5,66.0,5.24,Volatility percentile
SPY,0.05,0.0,Hybrid volatility + instability confirmation,24,5,66.0,6.2,Hybrid volatility + instability confirmation
SPY,0.1,0.0,Hybrid volatility + instability confirmation,24,5,66.0,7.4,Hybrid volatility + instability confirmation
SPY,0.25,0.0,Hybrid volatility + instability confirmation,24,5,66.0,11.0,Hybrid volatility + instability confirmation
SPY,0.5,0.0,Hybrid volatility + instability confirmation,24,5,66.0,17.0,Hybrid volatility + instability confirmation
SPY,1.0,0.0,Hybrid volatility + instability confirmation,24,5,66.0,29.0,Hybrid volatility + instability confirmation
SPY,0.01,0.05,Hybrid volatility + instability confirmation,24,5,66.0,8.540000000000001,Volatility percentile
SPY,0.05,0.05,Hybrid volatility + instability confirmation,24,5,66.0,9.5,Hybrid volatility + instability confirmation
SPY,0.1,0.05,Hybrid volatility + instability confirmation,24,5,66.0,10.700000000000001,Hybrid volatility + instability confirmation
SPY,0.25,0.05,Hybrid volatility + instability confirmation,24,5,66.0,14.3,Hybrid volatility + instability confirmation
SPY,0.5,0.05,Hybrid volatility + instability confirmation,24,5,66.0,20.3,Hybrid volatility + instability confirmation
SPY,1.0,0.05,Hybrid volatility + instability confirmation,24,5,66.0,32.3,Hybrid volatility + instability confirmation
SPY,0.01,0.1,Hybrid volatility + instability confirmation,24,5,66.0,11.84,Volatility percentile
SPY,0.05,0.1,Hybrid volatility + instability confirmation,24,5,66.0,12.8,Hybrid volatility + instability confirmation
SPY,0.1,0.1,Hybrid volatility + instability confirmation,24,5,66.0,14.0,Hybrid volatility + instability confirmation
SPY,0.25,0.1,Hybrid volatility + instability confirmation,24,5,66.0,17.6,Hybrid volatility + instability confirmation
SPY,0.5,0.1,Hybrid volatility + instability confirmation,24,5,66.0,23.6,Hybrid volatility + instability confirmation
SPY,1.0,0.1,Hybrid volatility + instability confirmation,24,5,66.0,35.6,Hybrid volatility + instability confirmation
QQQ,0.01,0.0,Volatility percentile,173,7,17.0,8.73,Hybrid volatility + instability confirmation
QQQ,0.05,0.0,Volatility percentile,173,7,17.0,15.65,Hybrid volatility + instability confirmation
QQQ,0.1,0.0,Volatility percentile,173,7,17.0,24.3,Hybrid volatility + instability confirmation
QQQ,0.25,0.0,Volatility percentile,173,7,17.0,50.25,Hybrid volatility + instability confirmation
QQQ,0.5,0.0,Volatility percentile,173,7,17.0,93.5,Hybrid volatility + instability confirmation
QQQ,1.0,0.0,Volatility percentile,173,7,17.0,180.0,Hybrid volatility + instability confirmation
QQQ,0.01,0.05,Volatility percentile,173,7,17.0,9.58,Volatility percentile
QQQ,0.05,0.05,Volatility percentile,173,7,17.0,16.5,Hybrid volatility + instability confirmation
QQQ,0.1,0.05,Volatility percentile,173,7,17.0,25.150000000000002,Hybrid volatility + instability confirmation
QQQ,0.25,0.05,Volatility percentile,173,7,17.0,51.1,Hybrid volatility + instability confirmation
QQQ,0.5,0.05,Volatility percentile,173,7,17.0,94.35,Hybrid volatility + instability confirmation
QQQ,1.0,0.05,Volatility percentile,173,7,17.0,180.85,Hybrid volatility + instability confirmation
QQQ,0.01,0.1,Volatility percentile,173,7,17.0,10.43,Volatility percentile
QQQ,0.05,0.1,Volatility percentile,173,7,17.0,17.35,Hybrid volatility + instability confirmation
QQQ,0.1,0.1,Volatility percentile,173,7,17.0,26.0,Hybrid volatility + instability confirmation
QQQ,0.25,0.1,Volatility percentile,173,7,17.0,51.95,Hybrid volatility + instability confirmation
QQQ,0.5,0.1,Volatility percentile,173,7,17.0,95.2,Hybrid volatility + instability confirmation
