ticker,method,event_detection_rate,median_first_detection_delay,median_closest_detection_delay,mean_event_coverage,pre_event_detection_rate,post_event_detection_rate
SPY,Volatility percentile,0.7692307692307693,3.0,3.0,0.22578297934267264,0.3076923076923077,0.7692307692307693
SPY,CUSUM,0.46153846153846156,-60.0,0.0,0.43420216147488877,0.46153846153846156,0.46153846153846156
SPY,Instability score,0.9230769230769231,-42.5,2.5,0.1701299795494757,0.6153846153846154,0.7692307692307693
SPY,MMD-only confirmation,0.8461538461538461,-15.0,8.0,0.16224082598671863,0.46153846153846156,0.6923076923076923
SPY,Kappa-only confirmation,0.7692307692307693,-36.0,0.0,0.11529653260211857,0.5384615384615384,0.6153846153846154
SPY,Hybrid volatility + instability confirmation,0.6153846153846154,5.0,5.0,0.12120956808799087,0.15384615384615385,0.6153846153846154
QQQ,Volatility percentile,0.46153846153846156,-11.5,1.0,0.19827051371410628,0.3076923076923077,0.46153846153846156
QQQ,CUSUM,0.5384615384615384,-60.0,0.0,0.4767959313413859,0.5384615384615384,0.5384615384615384
QQQ,Instability score,0.7692307692307693,4.5,11.5,0.1475654684855123,0.3076923076923077,0.7692307692307693
QQQ,MMD-only confirmation,0.8461538461538461,-17.0,11.0,0.1327599016536585,0.46153846153846156,0.6923076923076923
QQQ,Kappa-only confirmation,0.6153846153846154,-22.0,-1.5,0.11734158503052261,0.6153846153846154,0.38461538461538464
QQQ,Hybrid volatility + instability confirmation,0.38461538461538464,2.0,2.0,0.08631346747447514,0.15384615384615385,0.38461538461538464
IWM,Volatility percentile,0.5384615384615384,1.0,1.0,0.1760966306420852,0.23076923076923078,0.5384615384615384
IWM,CUSUM,0.46153846153846156,-60.0,-10.0,0.24793388429752067,0.46153846153846156,0.23076923076923078
IWM,Instability score,0.9230769230769231,-32.5,1.0,0.1707919502256313,0.6153846153846154,0.7692307692307693
IWM,MMD-only confirmation,0.7692307692307693,-30.5,8.5,0.17528373266078184,0.46153846153846156,0.7692307692307693
IWM,Kappa-only confirmation,0.6923076923076923,-58.0,0.0,0.09274332225151898,0.5384615384615384,0.46153846153846156
IWM,Hybrid volatility + instability confirmation,0.38461538461538464,5.0,5.0,0.08963763509218053,0.15384615384615385,0.38461538461538464
HYG,Volatility percentile,0.38461538461538464,2.0,2.0,0.12269548633184996,0.15384615384615385,0.38461538461538464
HYG,CUSUM,0.0,,,0.0,0.0,0.0
HYG,Instability score,0.7692307692307693,-17.0,-1.5,0.14534725608535318,0.46153846153846156,0.6923076923076923
HYG,MMD-only confirmation,0.6923076923076923,2.0,2.0,0.12683095397033745,0.3076923076923077,0.6923076923076923
HYG,Kappa-only confirmation,0.8461538461538461,-51.0,0.0,0.1152225294510964,0.6153846153846154,0.6153846153846154
HYG,Hybrid volatility + instability confirmation,0.23076923076923078,-3.0,0.0,0.08264462809917356,0.15384615384615385,0.23076923076923078
TLT,Volatility percentile,0.5384615384615384,-4.0,0.0,0.22695486331849965,0.46153846153846156,0.46153846153846156
TLT,CUSUM,0.6153846153846154,-60.0,0.0,0.3356643356643356,0.46153846153846156,0.5384615384615384
TLT,Instability score,0.7692307692307693,-19.0,0.0,0.1995664544099716,0.38461538461538464,0.6153846153846154
TLT,MMD-only confirmation,0.8461538461538461,6.0,6.0,0.1623711608808479,0.38461538461538464,0.6923076923076923
TLT,Kappa-only confirmation,0.9230769230769231,-8.5,0.0,0.13697330984961387,0.5384615384615384,0.6923076923076923
TLT,Hybrid volatility + instability confirmation,0.3076923076923077,-2.5,0.0,0.07628734901462174,0.23076923076923078,0.23076923076923078
