Ticker,Method,Precision,Recall,F1,FPR,Mean delay,Alignment error
SPY,Volatility percentile,0.64,0.225,0.333,0.044,-1.2,3.6
SPY,CUSUM,0.308,0.445,0.364,0.344,-60.0,0.167
SPY,Instability score,0.433,0.168,0.242,0.076,-25.167,20.333
SPY,MMD-only confirmation,0.411,0.164,0.235,0.081,-16.182,16.818
SPY,Kappa-only confirmation,0.292,0.11,0.16,0.092,-26.2,20.5
SPY,Hybrid volatility + instability confirmation,0.886,0.122,0.214,0.005,6.75,8.25
QQQ,Volatility percentile,0.616,0.181,0.28,0.039,-19.333,3.167
QQQ,CUSUM,0.339,0.489,0.4,0.329,-51.571,0.143
QQQ,Instability score,0.355,0.149,0.209,0.093,-2.1,18.4
QQQ,MMD-only confirmation,0.333,0.135,0.192,0.093,-10.727,23.818
QQQ,Kappa-only confirmation,0.325,0.117,0.172,0.084,-26.875,9.375
QQQ,Hybrid volatility + instability confirmation,0.812,0.076,0.139,0.006,10.4,15.2
IWM,Volatility percentile,0.529,0.183,0.272,0.056,-0.286,4.429
IWM,CUSUM,0.252,0.258,0.255,0.265,-54.5,7.667
IWM,Instability score,0.393,0.164,0.231,0.088,-24.0,23.417
IWM,MMD-only confirmation,0.423,0.171,0.244,0.081,-18.4,14.9
IWM,Kappa-only confirmation,0.261,0.092,0.136,0.09,-35.222,22.111
IWM,Hybrid volatility + instability confirmation,0.536,0.093,0.159,0.028,14.2,16.2
HYG,Volatility percentile,0.501,0.163,0.246,0.064,0.2,2.2
HYG,CUSUM,0.0,0.0,0.0,0.098,,
HYG,Instability score,0.534,0.159,0.245,0.055,-21.2,9.9
HYG,MMD-only confirmation,0.509,0.149,0.231,0.057,0.444,12.667
HYG,Kappa-only confirmation,0.348,0.101,0.156,0.075,-34.909,16.636
HYG,Hybrid volatility + instability confirmation,0.65,0.11,0.188,0.024,-1.0,2.333
TLT,Volatility percentile,0.507,0.281,0.362,0.085,-25.286,4.714
TLT,CUSUM,0.432,0.415,0.424,0.17,-30.5,8.875
TLT,Instability score,0.331,0.161,0.217,0.102,-13.4,17.3
TLT,MMD-only confirmation,0.312,0.154,0.206,0.106,-7.182,13.182
TLT,Kappa-only confirmation,0.28,0.127,0.175,0.101,-16.417,21.5
TLT,Hybrid volatility + instability confirmation,0.367,0.094,0.15,0.051,-4.75,23.5
