bootstrap,resample,delta_f1,delta_fpr
event,"[(5784, 5724, 5844), (5031, 4971, 5091), (5784, 5724, 5844), (2867, 2807, 2927), (4501, 4441, 4561), (590, 530, 650), (590, 530, 650), (2867, 2807, 2927), (4724, 4664, 4784), (1860, 1800, 1920), (22, 0, 82), (590, 530, 650), (4724, 4664, 4784)]",-0.06318833706404453,-0.049831916155823615
event,"[(22, 0, 82), (5031, 4971, 5091), (5597, 5537, 5657), (1860, 1800, 1920), (5784, 5724, 5844), (5784, 5724, 5844), (2550, 2490, 2610), (5597, 5537, 5657), (22, 0, 82), (2867, 2807, 2927), (5784, 5724, 5844), (22, 0, 82), (376, 316, 436)]",-0.10211086557464172,-0.04508601937907851
event,"[(2867, 2807, 2927), (4724, 4664, 4784), (4724, 4664, 4784), (5031, 4971, 5091), (2867, 2807, 2927), (5597, 5537, 5657), (3884, 3824, 3944), (2147, 2087, 2207), (5031, 4971, 5091), (376, 316, 436), (1860, 1800, 1920), (1860, 1800, 1920), (2147, 2087, 2207)]",-0.12741194900149566,-0.03984857541342897
event,"[(5784, 5724, 5844), (5597, 5537, 5657), (2550, 2490, 2610), (4724, 4664, 4784), (4501, 4441, 4561), (590, 530, 650), (376, 316, 436), (590, 530, 650), (22, 0, 82), (5031, 4971, 5091), (5597, 5537, 5657), (1860, 1800, 1920), (590, 530, 650)]",-0.041332517826547815,-0.053997923156801665
event,"[(2147, 2087, 2207), (22, 0, 82), (4501, 4441, 4561), (2867, 2807, 2927), (5031, 4971, 5091), (22, 0, 82), (3884, 3824, 3944), (4501, 4441, 4561), (5784, 5724, 5844), (4501, 4441, 4561), (3884, 3824, 3944), (2147, 2087, 2207), (1860, 1800, 1920)]",-0.09839187183592102,-0.04528376507810956
event,"[(22, 0, 82), (3884, 3824, 3944), (2147, 2087, 2207), (3884, 3824, 3944), (3884, 3824, 3944), (5031, 4971, 5091), (3884, 3824, 3944), (4501, 4441, 4561), (5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (22, 0, 82), (4724, 4664, 4784)]",-0.09498910675381261,-0.04422556971803785
event,"[(2147, 2087, 2207), (3884, 3824, 3944), (5031, 4971, 5091), (2550, 2490, 2610), (5031, 4971, 5091), (1860, 1800, 1920), (376, 316, 436), (5784, 5724, 5844), (22, 0, 82), (590, 530, 650), (376, 316, 436), (2550, 2490, 2610), (1860, 1800, 1920)]",-0.031436899234683735,-0.0526742301458671
event,"[(376, 316, 436), (5597, 5537, 5657), (2550, 2490, 2610), (1860, 1800, 1920), (4724, 4664, 4784), (1860, 1800, 1920), (22, 0, 82), (5031, 4971, 5091), (3884, 3824, 3944), (2867, 2807, 2927), (1860, 1800, 1920), (590, 530, 650), (5597, 5537, 5657)]",-0.09464184182967308,-0.043821391484942886
event,"[(4724, 4664, 4784), (590, 530, 650), (2867, 2807, 2927), (2550, 2490, 2610), (5597, 5537, 5657), (5784, 5724, 5844), (2550, 2490, 2610), (2550, 2490, 2610), (4724, 4664, 4784), (4724, 4664, 4784), (376, 316, 436), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.10917025413254147,-0.044431161585973294
event,"[(4724, 4664, 4784), (22, 0, 82), (2867, 2807, 2927), (4501, 4441, 4561), (4501, 4441, 4561), (3884, 3824, 3944), (2147, 2087, 2207), (22, 0, 82), (4501, 4441, 4561), (3884, 3824, 3944), (22, 0, 82), (4501, 4441, 4561), (2550, 2490, 2610)]",-0.10840958605664483,-0.04422556971803786
event,"[(4501, 4441, 4561), (376, 316, 436), (376, 316, 436), (3884, 3824, 3944), (4501, 4441, 4561), (5597, 5537, 5657), (376, 316, 436), (2550, 2490, 2610), (4501, 4441, 4561), (4724, 4664, 4784), (4724, 4664, 4784), (1860, 1800, 1920), (376, 316, 436)]",-0.029864406225655463,-0.05622568093385215
event,"[(1860, 1800, 1920), (4501, 4441, 4561), (22, 0, 82), (2147, 2087, 2207), (22, 0, 82), (4724, 4664, 4784), (2550, 2490, 2610), (2147, 2087, 2207), (5597, 5537, 5657), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091), (4724, 4664, 4784)]",-0.08503093916492127,-0.04477309562398703
event,"[(3884, 3824, 3944), (2147, 2087, 2207), (4724, 4664, 4784), (5597, 5537, 5657), (22, 0, 82), (4724, 4664, 4784), (590, 530, 650), (5597, 5537, 5657), (2147, 2087, 2207), (4501, 4441, 4561), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784)]",-0.10808913907261095,-0.043701799485861184
event,"[(4501, 4441, 4561), (1860, 1800, 1920), (2550, 2490, 2610), (1860, 1800, 1920), (2147, 2087, 2207), (22, 0, 82), (5031, 4971, 5091), (4501, 4441, 4561), (4724, 4664, 4784), (590, 530, 650), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920)]",-0.031108394587836152,-0.0526742301458671
