subset,method,precision,recall,f1,fpr
artificialNoAnomaly,cusum,0.0,0.0,0.0,0.2
artificialNoAnomaly,hybrid_windowed_confirmation,0.0,0.0,0.0,0.04016528925619835
artificialNoAnomaly,instability_score,0.0,0.0,0.0,0.0628099173553719
artificialNoAnomaly,volatility_percentile,0.0,0.0,0.0,0.0947107438016529
artificialWithAnomaly,cusum,0.055622724980769304,0.16873418449505406,0.08357636886805331,0.6381631037212985
artificialWithAnomaly,hybrid_windowed_confirmation,0.22571537838941014,0.15559725097768576,0.16289450014673112,0.07992257375508811
artificialWithAnomaly,instability_score,0.2451159329182718,0.20625000000000002,0.2082638470432657,0.11258237604276923
artificialWithAnomaly,volatility_percentile,0.20627927095567508,0.16328955866999345,0.16817160324544245,0.1067205370945465
realAWSCloudwatch,cusum,0.10305054413663531,0.22555954717726506,0.12360396852377686,0.3074262536809618
realAWSCloudwatch,hybrid_windowed_confirmation,0.22618955763252704,0.11463337232971037,0.10841779429629206,0.11893989785534918
realAWSCloudwatch,instability_score,0.12538392037557664,0.12865914189089583,0.11714725008018077,0.1418026760417962
realAWSCloudwatch,volatility_percentile,0.21451355265230823,0.12343820236142307,0.10784481340802923,0.16564626721228454
realAdExchange,cusum,0.07164731430114764,0.3160560018416876,0.11576416209144018,0.41934417669344176
realAdExchange,hybrid_windowed_confirmation,0.12623219122110405,0.24017907988319823,0.15097628111789443,0.16882646356197314
realAdExchange,instability_score,0.08447909142997188,0.11636315170901336,0.09678374317549576,0.16346606065465302
realAdExchange,volatility_percentile,0.12180482365031815,0.2503416815092145,0.14809387169501945,0.191384287055994
realKnownCause,cusum,0.0651126946870323,0.2857142857142857,0.10531572593076412,0.3491841279775466
realKnownCause,hybrid_windowed_confirmation,0.20534625519739177,0.3151429447949527,0.19381216344884442,0.1847677038323133
realKnownCause,instability_score,0.24183260686053779,0.3894379418889548,0.2610103181290616,0.22615759379564354
realKnownCause,volatility_percentile,0.16814779987689854,0.3221026487444342,0.17896615275156721,0.23157041967673156
realTraffic,cusum,0.16254748652707837,0.36435124508519007,0.220756788275515,0.415916130835896
realTraffic,hybrid_windowed_confirmation,0.47060533817035355,0.2456375154986817,0.3015828567583013,0.055586838013936934
realTraffic,instability_score,0.431122463393358,0.3026988969911804,0.3217085624643315,0.10040775766663798
realTraffic,volatility_percentile,0.40701716943476035,0.25536752860484163,0.2997090067386374,0.08233381294729254
realTweets,cusum,0.08397379141333292,0.13865748831900704,0.09113209830477709,0.19350177652643716
realTweets,hybrid_windowed_confirmation,0.12215970848332444,0.09262159151434593,0.0969814029425374,0.06765592273779011
realTweets,instability_score,0.10243127385581405,0.1033669291624629,0.09490216553900628,0.09264878233253285
realTweets,volatility_percentile,0.11694976357113736,0.11501247689849148,0.10574497233509876,0.09150347362413445
