series_id,precision,recall,f1,fpr,tp,fp,fn,tn
0,0.7090909090909091,0.9512195121951219,0.8125,0.10062893081761007,156,64,8,572
1,0.7345132743362832,0.9120879120879121,0.8137254901960785,0.0970873786407767,166,60,16,558
2,0.72,1.0,0.8372093023255813,0.11290322580645161,180,70,0,550
3,0.7978339350180506,0.9910313901345291,0.884,0.09705372616984402,221,56,2,521
4,0.6410256410256411,0.8982035928143712,0.7481296758104737,0.13270142180094788,150,84,17,549
5,0.7963636363636364,0.9820627802690582,0.8795180722891567,0.09705372616984402,219,56,4,521
6,0.7638376383763837,1.0,0.8661087866108786,0.10792580101180438,207,64,0,529
7,0.6526946107784432,0.6687116564417178,0.6606060606060606,0.09105180533751962,109,58,54,579
8,0.7835820895522388,1.0,0.8786610878661087,0.09830508474576272,210,58,0,532
9,0.6989247311827957,0.7602339181286549,0.7282913165266106,0.0890302066772655,130,56,41,573
10,0.6216216216216216,0.9517241379310345,0.7520435967302452,0.1282442748091603,138,84,7,571
11,0.630057803468208,0.7124183006535948,0.6687116564417178,0.09891808346213292,109,64,44,583
12,0.6996047430830039,0.8939393939393939,0.7849223946784922,0.12624584717607973,177,76,21,526
13,0.6374045801526718,1.0,0.7785547785547786,0.1500789889415482,167,95,0,538
14,0.6533864541832669,0.9590643274853801,0.7772511848341231,0.1383147853736089,164,87,7,542
15,0.7358490566037735,0.7684729064039408,0.7518072289156625,0.09380234505862646,156,56,47,541
16,0.7383177570093458,0.7939698492462312,0.7651331719128329,0.09317803660565724,158,56,41,545
17,0.5962264150943396,1.0,0.7470449172576833,0.16666666666666666,158,107,0,535
18,0.6885813148788927,1.0,0.8155737704918032,0.1497504159733777,199,90,0,511
19,0.6346863468634686,0.9398907103825137,0.7577092511013216,0.16045380875202594,172,99,11,518
20,0.6556776556776557,0.9675675675675676,0.7816593886462883,0.15284552845528454,179,94,6,521
21,0.7821011673151751,0.9392523364485982,0.8535031847133758,0.09556313993174062,201,56,13,530
22,0.7656903765690377,0.9631578947368421,0.8531468531468532,0.09180327868852459,183,56,7,554
23,0.6831683168316832,0.8789808917197452,0.7688022284122564,0.09953343701399689,138,64,19,579
24,0.7338709677419355,0.9528795811518325,0.8291571753986332,0.10837438423645321,182,66,9,543
25,0.75,0.9081081081081082,0.8215158924205379,0.0910569105691057,168,56,17,559
26,0.58,1.0,0.7341772151898733,0.16030534351145037,145,105,0,550
27,0.6757990867579908,0.8268156424581006,0.7437185929648241,0.1143317230273752,148,71,31,550
28,0.5512367491166078,0.9811320754716981,0.7058823529411765,0.1981279251170047,156,127,3,514
29,0.5606060606060606,1.0,0.7184466019417475,0.17791411042944785,148,116,0,536
